,Accuracy,Balanced Accuracy,Recall,Precision,AUC,F1 Score
Keras-Tensorflow,85.50 ± 0.24,73.12 ± 0.19,85.50 ± 0.24,84.53 ± 0.24,73.12 ± 0.19,91.15 ± 0.17
Fast.AI,87.36 ± 0.18,75.03 ± 0.45,87.36 ± 0.18,86.67 ± 0.20,75.03 ± 0.45,92.34 ± 0.13
