,Accuracy,Balanced Accuracy,Recall,Precision,AUC,F1 Score
Keras-Tensorflow,83.71 ± 0.10,71.84 ± 0.21,83.71 ± 0.10,82.86 ± 0.14,71.84 ± 0.21,89.82 ± 0.09
Fast.AI,83.36 ± 0.16,69.77 ± 0.81,83.36 ± 0.16,82.73 ± 0.12,69.77 ± 0.81,89.75 ± 0.07
